_time,label,cycle_id
2023-12-12 16:07:03.562,Normal,5_251
2023-12-12 14:55:35.855,Normal,5_237
2023-12-12 12:30:25.909,Normal,5_208
2023-12-12 13:56:57.742,Normal,5_225
2023-12-12 15:26:50.145,Normal,5_243
2023-12-12 12:54:16.572,Normal,5_213
2023-12-12 15:58:33.343,Normal,5_249
2023-12-12 15:38:56.543,Normal,5_245
2023-12-12 12:59:32.138,Normal,5_214
2023-12-11 14:03:54.672,Normal,1_3
2023-12-12 11:46:28.742,Normal,5_199
2023-12-12 14:17:47.140,Normal,5_230
2023-12-12 06:21:28.648,Normal,5_134
2023-12-12 15:49:32.456,Normal,5_247
2023-12-12 09:32:05.941,Normal,5_172
2023-12-11 13:06:10.638,Normal,0_1
2023-12-12 10:33:09.446,Normal,5_184
2023-12-12 08:00:31.434,Normal,5_154
2023-12-12 09:04:04.658,Normal,5_166
2023-12-12 04:46:59.951,Normal,5_115
2023-12-12 09:55:01.842,Normal,5_177
2023-12-11 15:30:48.741,Normal,2_13
2023-12-12 10:11:24.863,Normal,5_180
2023-12-11 15:00:53.344,Normal,2_7
2023-12-12 05:34:59.643,Normal,5_124
2023-12-12 14:46:54.743,Normal,5_235
2023-12-12 12:04:22.860,Normal,5_203
2023-12-12 05:14:07.153,Normal,5_120
2023-12-12 13:44:46.042,Normal,5_223
2023-12-12 06:03:55.150,Normal,5_130
2023-12-12 08:34:41.750,Normal,5_161
2023-12-12 13:56:36.747,Normal,5_225
2023-12-11 15:07:31.136,Normal,2_9
2023-12-11 13:08:09.138,Normal,0_1
2023-12-12 11:36:42.150,Normal,5_197
2023-12-12 09:49:44.672,Normal,5_175
2023-12-11 14:15:53.349,Normal,1_6
2023-12-12 05:22:47.649,Normal,5_122
2023-12-12 06:48:23.944,Normal,5_139
2023-12-12 08:59:35.543,Normal,5_165
2023-12-12 14:39:38.257,Normal,5_234
2023-12-12 07:03:28.861,Normal,5_142
2023-12-12 15:22:05.757,Normal,5_242
2023-12-12 11:45:10.945,Normal,5_199
2023-12-11 15:06:07.256,Normal,2_8
2023-12-12 15:15:13.747,Normal,5_240
2023-12-12 12:03:53.841,Normal,5_203
2023-12-12 12:11:53.842,Normal,5_204
2023-12-12 09:01:52.641,Normal,5_166
2023-12-11 15:02:02.879,Normal,2_7
2023-12-12 12:10:19.042,Normal,5_204
2023-12-12 09:43:45.742,Normal,5_174
2023-12-12 05:11:50.443,Normal,5_120
2023-12-11 14:43:42.046,Normal,2_4
2023-12-12 05:19:53.446,Normal,5_121
2023-12-11 14:57:48.547,Normal,2_7
2023-12-12 16:10:32.244,Normal,5_252
2023-12-12 08:01:56.047,Normal,5_154
2023-12-12 10:45:38.046,Normal,5_187
2023-12-11 13:16:29.140,Normal,0_3
2023-12-12 13:47:50.142,Normal,5_223
2023-12-12 11:24:45.214,Normal,5_195
2023-12-12 14:06:45.349,Normal,5_227
2023-12-12 15:18:33.345,Normal,5_241
2023-12-12 15:15:15.046,Normal,5_241
